				Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Plan	Plan	Plan	Plan	Plan	Plan	Plan	Plan	Plan	Plan	Plan	Plan	Plan	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast
				Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	2+10	2+10	2+10	2+10	2+10	2+10	2+10	2+10	2+10	2+10	2+10	2+10	2+10	3+9	3+9	3+9	3+9	3+9	3+9	3+9	3+9	3+9	3+9	3+9	3+9	3+9	4+8	4+8	4+8	4+8	4+8	4+8	4+8	4+8	4+8	4+8	4+8	4+8	4+8	5+7	5+7	5+7	5+7	5+7	5+7	5+7	5+7	5+7	5+7	5+7	5+7	5+7	6+6	6+6	6+6	6+6	6+6	6+6	6+6	6+6	6+6	6+6	6+6	6+6	6+6	8+4	8+4	8+4	8+4	8+4	8+4	8+4	8+4	8+4	8+4	8+4	8+4	8+4
				FY15	FY15	FY15	FY15	FY15	FY15	FY15	FY15	FY15	FY15	FY15	FY15	FY15	FY16	FY16	FY16	FY16	FY16	FY16	FY16	FY16	FY16	FY16	FY16	FY16	FY16	FY17	FY17	FY17	FY17	FY17	FY17	FY17	FY17	FY17	FY17	FY17	FY17	FY17	FY18	FY18	FY18	FY18	FY18	FY18	FY18	FY18	FY18	FY18	FY18	FY18	FY18	FY19	FY19	FY19	FY19	FY19	FY19	FY19	FY19	FY19	FY19	FY19	FY19	FY19	FY20	FY20	FY20	FY20	FY20	FY20	FY20	FY20	FY20	FY20	FY20	FY20	FY20	FY21	FY21	FY21	FY21	FY21	FY21	FY21	FY21	FY21	FY21	FY21	FY21	FY21	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22
				USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD
				YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"
Total Activity	Total 401k Revenue	Total Paychex	Total Service Revenue - RW	"200,963,139"	"14,883,414"	"15,071,771"	"14,783,933"	"17,075,301"	"18,252,956"	"15,516,156"	"20,015,897"	"17,715,332"	"16,887,106"	"16,015,057"	"17,825,265"	"16,920,950"	"191,232,712"	"15,124,410"	"16,058,052"	"15,469,895"	"16,687,015"	"15,324,997"	"15,482,322"	"16,374,777"	"15,947,795"	"15,821,560"	"16,032,217"	"16,630,538"	"16,279,135"	"205,496,984"	"16,334,839"	"16,614,645"	"17,011,692"	"16,626,888"	"17,258,300"	"16,832,332"	"16,864,887"	"17,480,827"	"17,040,417"	"17,675,241"	"17,885,991"	"17,870,925"	"225,684,738"	"18,044,317"	"18,493,593"	"17,755,849"	"19,396,997"	"18,916,146"	"18,350,152"	"18,981,141"	"19,607,871"	"18,349,854"	"19,646,011"	"19,233,114"	"18,909,693"	"243,422,423"	"19,833,196"	"19,847,064"	"20,122,391"	"22,808,780"	"20,309,333"	"19,805,584"	"19,978,109"	"19,516,714"	"19,497,189"	"20,250,082"	"20,648,711"	"20,805,270"	"261,886,039"	"20,591,157"	"21,512,684"	"21,062,549"	"24,084,524"	"21,289,255"	"21,990,310"	"21,884,531"	"22,501,494"	"22,353,183"	"21,749,495"	"20,519,508"	"22,347,350"	"275,511,725"	"20,843,393"	"22,352,127"	"21,944,199"	"24,630,413"	"21,963,795"	"22,231,040"	"23,311,416"	"23,143,326"	"23,583,891"	"24,032,102"	"23,829,966"	"23,646,058"	"300,491,924"	"23,657,536"	"24,195,939"	"24,357,860"	"25,993,707"	"24,299,794"	"23,982,007"	"24,831,739"	"25,319,227"	"24,500,043"	"26,489,990"	"26,192,525"	"26,671,557"	"302,338,729"	"24,192,007"	"24,136,559"	"24,568,954"	"26,121,057"	"24,429,351"	"24,109,977"	"24,966,112"	"25,446,648"	"24,615,555"	"26,615,334"	"26,321,842"	"26,815,333"	"302,036,415"	"24,192,007"	"24,136,559"	"24,432,499"	"26,406,279"	"24,535,806"	"24,299,651"	"24,930,948"	"25,363,525"	"24,535,710"	"26,466,313"	"26,183,276"	"26,553,842"	"305,632,868"	"24,192,007"	"24,136,559"	"24,432,499"	"27,574,024"	"24,763,456"	"24,549,964"	"25,260,156"	"25,496,906"	"24,815,457"	"26,877,115"	"26,624,732"	"26,909,994"	"306,309,641"	"24,192,007"	"24,136,559"	"24,432,499"	"27,574,024"	"24,476,675"	"24,950,409"	"25,684,906"	"25,976,013"	"25,172,509"	"26,717,581"	"26,331,537"	"26,664,922"	"306,228,870"	"24,192,007"	"24,136,559"	"24,432,499"	"27,574,024"	"24,476,675"	"25,836,223"	"25,503,520"	"25,770,344"	"25,001,310"	"26,552,458"	"26,197,016"	"26,556,235"	"304,835,024"	"24,192,007"	"24,136,559"	"24,432,499"	"27,574,024"	"24,476,675"	"25,836,223"	"26,002,181"	"25,826,261"	"24,740,442"	"25,937,318"	"25,600,810"	"26,080,025"
Total Activity	Total 401k Revenue	Total Paychex	DIRECT BILL/MONEY MGMT REVENUE - RW	"53,868,722"	"4,261,452"	"4,513,388"	"4,486,437"	"4,355,892"	"4,455,232"	"4,466,548"	"4,309,643"	"4,855,052"	"4,218,928"	"4,608,872"	"4,491,381"	"4,845,898"	"57,741,622"	"4,676,383"	"4,844,667"	"4,651,704"	"5,014,236"	"4,576,227"	"4,553,787"	"4,691,642"	"4,700,496"	"4,803,238"	"4,680,712"	"5,230,643"	"5,317,887"	"64,396,325"	"4,933,124"	"5,066,286"	"5,338,095"	"5,134,237"	"5,336,825"	"5,217,646"	"5,220,434"	"5,354,754"	"5,298,195"	"5,790,846"	"5,864,664"	"5,841,218"	"73,198,896"	"6,306,889"	"5,824,641"	"5,345,536"	"6,114,812"	"6,318,077"	"5,769,565"	"6,553,567"	"6,390,513"	"5,624,753"	"6,793,283"	"6,425,737"	"5,731,523"	"79,761,271"	"6,783,878"	"6,741,807"	"6,941,384"	"6,900,911"	"6,731,645"	"6,428,216"	"6,544,875"	"6,164,002"	"6,356,058"	"6,788,034"	"6,953,379"	"6,427,081"	"87,401,737"	"6,854,978"	"7,292,014"	"7,418,417"	"7,095,185"	"7,179,619"	"7,248,375"	"7,561,081"	"7,587,396"	"7,521,579"	"6,995,226"	"6,409,986"	"8,237,882"	"99,134,352"	"7,095,697"	"7,614,674"	"7,551,520"	"7,747,346"	"7,793,677"	"8,000,295"	"8,482,353"	"8,601,656"	"8,798,633"	"9,014,865"	"8,986,181"	"9,447,456"	"108,745,881"	"9,192,585"	"9,516,539"	"9,600,319"	"8,771,761"	"9,074,102"	"8,828,591"	"9,136,220"	"9,239,910"	"8,388,086"	"9,074,344"	"8,798,129"	"9,125,296"	"110,053,339"	"9,242,793"	"9,402,502"	"9,814,247"	"8,898,756"	"9,203,707"	"8,957,219"	"9,269,547"	"9,365,815"	"8,502,823"	"9,199,310"	"8,927,645"	"9,268,975"	"110,202,865"	"9,242,793"	"9,402,502"	"9,642,660"	"9,023,035"	"9,195,401"	"8,948,710"	"9,258,137"	"9,366,596"	"8,529,264"	"9,242,953"	"8,994,630"	"9,356,186"	"114,406,252"	"9,242,793"	"9,402,502"	"9,642,660"	"9,799,382"	"9,540,688"	"9,291,963"	"9,665,903"	"9,721,597"	"8,849,937"	"9,812,258"	"9,539,988"	"9,896,581"	"116,971,402"	"9,242,793"	"9,402,502"	"9,642,660"	"9,799,382"	"9,732,791"	"9,564,588"	"9,974,434"	"10,078,332"	"9,179,838"	"10,178,606"	"9,902,658"	"10,272,818"	"116,545,445"	"9,242,793"	"9,402,502"	"9,642,660"	"9,799,382"	"9,732,791"	"10,097,325"	"9,818,775"	"9,900,796"	"9,021,731"	"10,011,118"	"9,749,030"	"10,126,542"	"114,342,615"	"9,242,793"	"9,402,502"	"9,642,660"	"9,799,382"	"9,732,791"	"10,097,325"	"9,911,485"	"9,956,103"	"8,475,391"	"9,403,945"	"9,162,176"	"9,516,061"
			*fee revenue	"147,094,416"	"10,621,962"	"10,558,383"	"10,297,496"	"12,719,410"	"13,797,724"	"11,049,608"	"15,706,253"	"12,860,280"	"12,668,178"	"11,406,185"	"13,333,885"	"12,075,052"	"133,491,090"	"10,448,026"	"11,213,386"	"10,818,192"	"11,672,778"	"10,748,769"	"10,928,536"	"11,683,135"	"11,247,298"	"11,018,323"	"11,351,505"	"11,399,895"	"10,961,248"	"141,100,659"	"11,401,715"	"11,548,359"	"11,673,597"	"11,492,651"	"11,921,475"	"11,614,686"	"11,644,453"	"12,126,073"	"11,742,221"	"11,884,395"	"12,021,327"	"12,029,707"	"152,485,842"	"11,737,429"	"12,668,952"	"12,410,314"	"13,282,184"	"12,598,069"	"12,580,587"	"12,427,574"	"13,217,357"	"12,725,101"	"12,852,729"	"12,807,377"	"13,178,170"	"163,661,152"	"13,049,318"	"13,105,257"	"13,181,006"	"15,907,869"	"13,577,688"	"13,377,368"	"13,433,234"	"13,352,711"	"13,141,131"	"13,462,049"	"13,695,332"	"14,378,189"	"174,484,302"	"13,736,179"	"14,220,670"	"13,644,131"	"16,989,339"	"14,109,636"	"14,741,935"	"14,323,450"	"14,914,098"	"14,831,604"	"14,754,269"	"14,109,521"	"14,109,469"	"176,377,373"	"13,747,696"	"14,737,453"	"14,392,679"	"16,883,066"	"14,170,118"	"14,230,746"	"14,829,063"	"14,541,670"	"14,785,258"	"15,017,237"	"14,843,785"	"14,198,602"	"191,746,043"	"14,464,951"	"14,679,400"	"14,757,541"	"17,221,945"	"15,225,692"	"15,153,416"	"15,695,519"	"16,079,317"	"16,111,957"	"17,415,646"	"17,394,397"	"17,546,262"	"192,285,390"	"14,949,214"	"14,734,057"	"14,754,707"	"17,222,300"	"15,225,644"	"15,152,758"	"15,696,565"	"16,080,833"	"16,112,732"	"17,416,024"	"17,394,197"	"17,546,358"	"191,833,550"	"14,949,214"	"14,734,057"	"14,789,839"	"17,383,244"	"15,340,405"	"15,350,941"	"15,672,811"	"15,996,929"	"16,006,447"	"17,223,361"	"17,188,646"	"17,197,656"	"191,226,617"	"14,949,214"	"14,734,057"	"14,789,839"	"17,774,642"	"15,222,768"	"15,258,001"	"15,594,253"	"15,775,310"	"15,965,520"	"17,064,857"	"17,084,743"	"17,013,412"	"189,338,239"	"14,949,214"	"14,734,057"	"14,789,839"	"17,774,642"	"14,743,884"	"15,385,822"	"15,710,472"	"15,897,681"	"15,992,671"	"16,538,976"	"16,428,878"	"16,392,104"	"189,683,425"	"14,949,214"	"14,734,057"	"14,789,839"	"17,774,642"	"14,743,884"	"15,738,898"	"15,684,745"	"15,869,548"	"15,979,580"	"16,541,340"	"16,447,986"	"16,429,692"	"190,492,410"	"14,949,214"	"14,734,057"	"14,789,839"	"17,774,642"	"14,743,884"	"15,738,898"	"16,090,696"	"15,870,158"	"16,265,051"	"16,533,373"	"16,438,635"	"16,563,964"
																																																																																																																																																																																									
Total Activity	Total 401k Revenue	CONSOLIDATED 401K-S125	Sales - RW	"14,400"	"1,229"	832	986	"1,326"	"1,401"	782	"1,002"	"2,185"	"1,039"	"1,186"	"1,177"	"1,255"	"14,874"	"1,249"	"1,021"	"1,026"	"1,222"	"1,528"	794	"1,201"	"2,079"	"1,110"	"1,133"	"1,229"	"1,282"	"14,805"	"1,204"	"1,009"	"1,043"	"1,346"	"1,541"	743	"1,231"	"1,993"	"1,175"	"1,156"	"1,132"	"1,232"	"15,813"	"1,423"	984	"1,046"	"1,793"	"1,056"	864	"1,272"	"2,093"	"1,354"	"1,248"	"1,292"	"1,388"	"17,179"	"1,419"	"1,113"	"1,391"	"1,302"	"1,534"	"1,106"	"1,251"	"2,340"	"1,327"	"1,349"	"1,495"	"1,552"	"16,546"	"1,353"	"1,105"	"1,331"	"1,592"	"1,740"	"1,122"	"1,460"	"2,233"	"1,436"	"1,451"	660	"1,063"	"18,467"	"1,433"	"1,261"	"1,184"	"1,530"	"1,683"	"1,081"	"1,446"	"2,521"	"1,560"	"1,560"	"1,630"	"1,578"	"19,927"	"1,389"	"1,290"	"1,543"	"1,839"	"1,184"	"1,367"	"2,670"	"1,831"	"1,627"	"1,879"	"1,625"	"1,683"	"20,548"	"1,720"	"1,590"	"1,547"	"1,772"	"1,180"	"1,363"	"2,565"	"1,936"	"1,652"	"1,851"	"1,596"	"1,776"	"20,585"	"1,720"	"1,590"	"1,581"	"1,783"	"1,188"	"1,363"	"2,544"	"1,936"	"1,652"	"1,852"	"1,593"	"1,783"	"21,373"	"1,720"	"1,590"	"1,581"	"1,918"	"1,342"	"1,487"	"2,629"	"1,998"	"1,706"	"1,915"	"1,645"	"1,842"	"22,354"	"1,720"	"1,590"	"1,581"	"1,918"	"2,098"	"1,491"	"2,663"	"2,039"	"1,741"	"1,955"	"1,679"	"1,879"	"22,539"	"1,720"	"1,590"	"1,581"	"1,918"	"2,098"	"1,220"	"2,695"	"2,048"	"1,836"	"2,065"	"1,783"	"1,985"	"22,549"	"1,720"	"1,590"	"1,581"	"1,918"	"2,098"	"1,220"	"1,350"	"3,311"	"1,852"	"2,097"	"1,811"	"2,001"
