				Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Actual	Plan	Plan	Plan	Plan	Plan	Plan	Plan	Plan	Plan	Plan	Plan	Plan	Plan	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast	Forecast
				Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	Final Revised	2+10	2+10	2+10	2+10	2+10	2+10	2+10	2+10	2+10	2+10	2+10	2+10	2+10	3+9	3+9	3+9	3+9	3+9	3+9	3+9	3+9	3+9	3+9	3+9	3+9	3+9	4+8	4+8	4+8	4+8	4+8	4+8	4+8	4+8	4+8	4+8	4+8	4+8	4+8	5+7	5+7	5+7	5+7	5+7	5+7	5+7	5+7	5+7	5+7	5+7	5+7	5+7	6+6	6+6	6+6	6+6	6+6	6+6	6+6	6+6	6+6	6+6	6+6	6+6	6+6	8+4	8+4	8+4	8+4	8+4	8+4	8+4	8+4	8+4	8+4	8+4	8+4	8+4
				FY15	FY15	FY15	FY15	FY15	FY15	FY15	FY15	FY15	FY15	FY15	FY15	FY15	FY16	FY16	FY16	FY16	FY16	FY16	FY16	FY16	FY16	FY16	FY16	FY16	FY16	FY17	FY17	FY17	FY17	FY17	FY17	FY17	FY17	FY17	FY17	FY17	FY17	FY17	FY18	FY18	FY18	FY18	FY18	FY18	FY18	FY18	FY18	FY18	FY18	FY18	FY18	FY19	FY19	FY19	FY19	FY19	FY19	FY19	FY19	FY19	FY19	FY19	FY19	FY19	FY20	FY20	FY20	FY20	FY20	FY20	FY20	FY20	FY20	FY20	FY20	FY20	FY20	FY21	FY21	FY21	FY21	FY21	FY21	FY21	FY21	FY21	FY21	FY21	FY21	FY21	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22	FY22
				USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD	USD
				YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"	YearTotal	"
Jun"	"
Jul"	"
Aug"	"
Sep"	"
Oct"	"
Nov"	"
Dec"	"
Jan"	"
Feb"	"
Mar"	"
Apr"	"
May"
Total Activity	401(K) PLANS	5765 SEBS	FEE REVENUE - NA - RW	"90,555"									"49,815"	"17,492"	"23,248"		"51,497"		"-2,182"	"53,979"				-300						"60,867"	"29,849"	"31,017"																								"182,406"	"1,762"		"23,121"		"36,996"	"65,700"	"14,645"				"40,183"																																																																																																																						
Total Activity	401(K) PLANS	5600 401K ADMINISTRATION	FEE REVENUE - NA - RW	"10,053,469"	"927,785"	"885,803"	"853,672"	"905,830"	"848,591"	"750,244"	"797,391"	"791,110"	"734,459"	"818,905"	"899,118"	"840,562"	"10,196,536"	"862,664"	"866,868"	"834,040"	"880,648"	"813,751"	"770,972"	"890,336"	"740,142"	"833,857"	"872,043"	"896,380"	"934,833"	"12,191,940"	"998,433"	"944,160"	"1,126,154"	"1,080,147"	"973,245"	"930,054"	"996,905"	"918,630"	"983,632"	"1,117,078"	"1,012,863"	"1,110,639"	"14,186"	"4,650"	"6,242"				"1,670"			"1,624"				"75,888"	"2,264"	"2,688"	"22,576"		"2,834"			"1,067"	"39,429"	"3,260"	"1,770"		"185,509"	"43,095"	"2,488"	"39,222"	"17,587"	"18,283"	"19,601"	"15,163"	"4,188"			"2,282"	"23,600"	"16,806"		874			"3,826"			"8,670"				"3,436"														"6,338"		"6,338"											"6,338"		"6,338"											"6,338"		"6,338"											"10,408"		"6,338"			"4,070"								"10,408"		"6,338"			"4,070"								"10,408"		"6,338"			"4,070"							
Total Activity	401K NSI EXPORT	5600 401K ADMINISTRATION	FEE REVENUE - NA - RW	-369	-460	-75					-65	-37		206	61		-753	-130	-99	-135		-350				-38	-1			"5,605"	25	-99	-200			-50		855		189		"4,885"																																																																																																																																															
Total Activity	RETIREMENT PLANS	5600 401K ADMINISTRATION	FEE REVENUE - NA - RW																											-11						-11																																																																																																																																																					
Total Activity	401(K) PLANS	5745 EPLAN	FEE REVENUE - NA - RW	"257,811"	"15,943"	"18,023"	"12,430"	"24,950"	"34,933"	"21,070"	"62,630"	"17,510"	"15,229"	"18,958"	"15,310"	825	"23,936"	"2,080"	818	"1,250"	"1,040"	"2,617"		"5,410"	"2,757"	884	"3,220"	"1,933"	"1,927"	"31,826"	"1,824"	"1,483"	"1,380"	"1,583"	"2,093"	"5,505"	"8,500"	"2,238"	"2,950"	680	"1,767"	"1,822"	"7,465"	"2,220"	"3,480"	"1,765"																																																																																																																																											
Total Activity	401(K) PLANS	5600 401K ADMINISTRATION	SETUP REVENUE - RW	"10,410,283"	"919,141"	"654,230"	"724,139"	"952,972"	"1,083,321"	"548,970"	"684,569"	"1,509,579"	"745,707"	"835,473"	"884,381"	"867,803"	"10,966,231"	"943,984"	"831,761"	"724,142"	"1,010,712"	"1,162,564"	"528,548"	"786,863"	"1,550,010"	"830,500"	"825,794"	"865,112"	"906,244"	"12,326,000"	"927,712"	"745,123"	"887,348"	"1,032,405"	"1,110,496"	"1,370,402"	"98,050"	"2,551,668"	"794,339"	"801,010"	"-8,214"	"2,015,663"	"11,712,102"	"764,076"	"-45,953"	"1,842,200"	"372,087"	"800,150"	"1,423,784"	"89,273"	"2,579,184"	"842,065"	"-33,745"	"999,828"	"2,079,153"	"11,812,459"	"-58,066"	"818,332"	"1,862,795"	"56,520"	"1,900,409"	"700,338"	"117,711"	"2,610,493"	"806,268"	"104,984"	"916,109"	"1,976,569"	"11,346,758"	"577,220"	"1,802,827"	"-29,150"	"1,120,500"	"2,067,498"	"-35,941"	"978,228"	"2,694,907"	"-38,360"	"1,013,922"	"1,206,106"	"-10,998"	"9,040,891"	"759,175"	"1,082,632"	"23,100"	"1,679,226"	"27,627"	"551,881"	"721,825"	"1,506,427"	"784,407"	"1,281,220"	"596,146"	"27,227"	"10,696,000"	"764,800"	"708,800"	"833,600"	"979,200"	"625,600"	"732,800"	"1,435,200"	"950,400"	"880,000"	"1,040,000"	"846,400"	"899,200"	"10,491,215"	"1,258,950"	"17,864"	"835,200"	"984,000"	"622,400"	"729,600"	"1,435,200"	"950,400"	"878,400"	"1,035,200"	"841,600"	"902,400"	"8,607,980"	"1,258,950"	"17,864"	"409,165"	"786,000"	"520,000"	"602,000"	"1,130,000"	"834,000"	"736,000"	"842,000"	"682,000"	"790,000"	"9,307,653"	"1,258,950"	"17,864"	"409,165"	"1,167,674"	"596,000"	"662,000"	"1,170,000"	"864,000"	"762,000"	"874,000"	"706,000"	"820,000"	"8,900,804"	"1,258,950"	"17,864"	"409,165"	"1,167,674"	"79,151"	"664,000"	"1,188,000"	"884,000"	"780,000"	"892,000"	"722,000"	"838,000"	"8,780,504"	"1,258,950"	"17,864"	"409,165"	"1,167,674"	"79,151"	"329,700"	"1,202,000"	"888,000"	"826,000"	"946,000"	"768,000"	"888,000"	"9,276,762"	"1,258,950"	"17,864"	"409,165"	"1,167,674"	"79,151"	"329,700"	"370,279"	"915,180"	"1,138,500"	"1,306,400"	"1,060,300"	"1,223,600"
