File,Product,Account,Detail,Item
401kRevenueDetail.txt,401(K) PLANS,5765 SEBS,FEE REVENUE - NA - RW,401K Fee Revenue
401kRevenueDetail.txt,401(K) PLANS,5600 401K ADMINISTRATION,FEE REVENUE - NA - RW,401K Fee Revenue
401kRevenueDetail.txt,401K NSI EXPORT,5600 401K ADMINISTRATION,FEE REVENUE - NA - RW,401K Fee Revenue
401kRevenueDetail.txt,RETIREMENT PLANS,5600 401K ADMINISTRATION,FEE REVENUE - NA - RW,401K Fee Revenue
401kRevenueDetail.txt,401(K) PLANS,5745 EPLAN,FEE REVENUE - NA - RW,401K Fee Revenue
401kRevenueDetail.txt,401(K) PLANS,5600 401K ADMINISTRATION,SETUP REVENUE - RW,401K Fee Revenue
401kRevenueDetail.txt,IRA SIMPLE,5600 401K ADMINISTRATION,SETUP REVENUE - RW,401K Fee Revenue
401kRevenueDetail.txt,401K SINGLE,5600 401K ADMINISTRATION,SETUP REVENUE - RW,401K Fee Revenue
401kRevenueDetail.txt,401(k) PEP,5600 401K ADMINISTRATION,FEE REVENUE - CONTRACT PLAN - RW,401K Fee Revenue
401kRevenueDetail.txt,401(K) PLANS,5600 401K ADMINISTRATION,FEE REVENUE - CONTRACT PLAN - RW,401K Fee Revenue
401kRevenueDetail.txt,IRA SIMPLE,5600 401K ADMINISTRATION,FEE REVENUE - CONTRACT PLAN - RW,401K Fee Revenue
401kRevenueDetail.txt,401K SINGLE,5600 401K ADMINISTRATION,FEE REVENUE - CONTRACT PLAN - RW,401K Fee Revenue
401kRevenueDetail.txt,401(K) PLANS,5745 EPLAN,FEE REVENUE - CONTRACT PLAN - RW,401K Fee Revenue
401kRevenueDetail.txt,401(k) PEP,5600 401K ADMINISTRATION,Revenue Deferral - RW,401K Fee Revenue
401kRevenueDetail.txt,401(K) PLANS,5600 401K ADMINISTRATION,Revenue Deferral - RW,401K Fee Revenue
401kRevenueDetail.txt,401(K) PLANS,Prior Year Adjustment,Revenue Deferral - RW,401K Fee Revenue
401kRevenueDetail.txt,401(k) PEP,5600 401K ADMINISTRATION,Deferred Revenue Recognition - RW,401K Fee Revenue
401kRevenueDetail.txt,401(K) PLANS,5600 401K ADMINISTRATION,Deferred Revenue Recognition - RW,401K Fee Revenue
401kRevenueDetail.txt,401(K) PLANS,Prior Year Adjustment,Setup Fee Revenue Existing Amortization - RW,401K Fee Revenue
401kRevenueDetail.txt,401(K) PLANS,0008 FOXBORO,OTHER REVENUE - NA - RW,401K Fee Revenue
401kRevenueDetail.txt,401(K) PLANS,0011 BOSTON,OTHER REVENUE - NA - RW,401K Fee Revenue
401kRevenueDetail.txt,IRA SIMPLE,0011 BOSTON,OTHER REVENUE - NA - RW,401K Fee Revenue
401kRevenueDetail.txt,401(K) PLANS,0012 PROVIDENCE,OTHER REVENUE - NA - RW,401K Fee Revenue
401kRevenueDetail.txt,IRA SIMPLE,0012 PROVIDENCE,OTHER REVENUE - NA - RW,401K Fee Revenue
401kRevenueDetail.txt,IRA SIMPLE,0013 STAMFORD,OTHER REVENUE - NA - RW,401K Fee Revenue
401kRevenueDetail.txt,401(K) PLANS,0067 MANCHESTER,OTHER REVENUE - NA - RW,401K Fee Revenue
401kRevenueDetail.txt,IRA SIMPLE,0069 AUBURN,OTHER REVENUE - NA - RW,401K Fee Revenue
401kRevenueDetail.txt,401(K) PLANS,0015 ALBANY,OTHER REVENUE - NA - RW,401K Fee Revenue
401kRevenueDetail.txt,401(K) PLANS,0016 SYRACUSE,OTHER REVENUE - NA - RW,401K Fee Revenue
401kRevenueDetail.txt,401(K) PLANS,0017 ROCHESTER,OTHER REVENUE - NA - RW,401K Fee Revenue
401kRevenueDetail.txt,401(K) PLANS,0035 ATLANTA,OTHER REVENUE - NA - RW,401K Fee Revenue
401kRevenueDetail.txt,401(K) PLANS,0045 BUFFALO,OTHER REVENUE - NA - RW,401K Fee Revenue
401kRevenueDetail.txt,401(K) PLANS,0030 BALTIMORE,OTHER REVENUE - NA - RW,401K Fee Revenue
